Date,SOLLTEMPERATUR HK 1,SOLLTEMPERATUR HK 2,ISTTEMPERATUR,SOLLTEMPERATUR,BIVALENZTEMPERATUR HZG,BIVALENZTEMPERATUR WW,VERFLÜSSIGERTEMP.,DRUCK HEIZKREIS,VOLUMENSTROM,LEISTUNG WP,LSTG PU PUMPE,AUSSENTEMPERATUR,ISTTEMPERATUR HK 1,SOLLTEMPERATUR HK 1,ISTTEMPERATUR HK 2,SOLLTEMPERATUR HK 2,VORLAUFISTTEMPERATUR WP,VORLAUFISTTEMPERATUR NHZ,RÜCKLAUFISTTEMPERATUR,FESTWERTSOLLTEMPERATUR,PUFFERSOLLTEMPERATUR,PUFFERISTTEMPERATUR,RESTSTILLSTANDZEIT,VD HEIZEN,VD WARMWASSER,NHZ 1,NHZ 2,VD HEIZEN TAG,VD HEIZEN SUMME,VD WARMWASSER TAG,VD WARMWASSER SUMME,NHZ HEIZEN SUMME,MIN,MIDDLE,MAX,HEIZEN,WARMWASSER
2017 09 08 20:57:54,22.0,22.0,45.7,50.0,-12.0,-12.0,17.1,2.37,0.0,0,0,12.5,26.6,22.0,26.6,22.0,34.0,33.2,31.0,30.0,30.0,26.6,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:05:29,22.0,22.0,45.7,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,12.4,25.9,22.0,26.6,22.0,33.9,33.0,30.8,30.0,30.0,25.9,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:05:32,22.0,22.0,45.7,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,12.4,25.9,22.0,26.6,22.0,33.9,33.0,30.8,30.0,30.0,25.9,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:05:34,22.0,22.0,45.7,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,12.4,25.9,22.0,26.6,22.0,33.9,33.0,30.8,30.0,30.0,25.9,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:15:29,22.0,22.0,45.6,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,12.2,25.5,22.0,26.5,22.0,33.6,32.7,30.5,30.0,30.0,25.5,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:15:33,22.0,22.0,45.6,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,12.2,25.5,22.0,26.5,22.0,33.6,32.7,30.5,30.0,30.0,25.5,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:15:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,12.2,25.5,22.0,26.5,22.0,33.6,32.7,30.5,30.0,30.0,25.5,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:25:29,22.0,22.0,45.6,50.0,-12.0,-12.0,30.9,2.45,32.9,20,80,12.0,30.0,22.0,27.6,22.0,34.7,34.4,31.3,30.0,30.0,30.0,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:25:32,22.0,22.0,45.6,50.0,-12.0,-12.0,30.9,2.45,32.9,20,80,12.0,30.0,22.0,27.6,22.0,34.7,34.4,31.3,30.0,30.0,30.0,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:25:34,22.0,22.0,45.6,50.0,-12.0,-12.0,30.9,2.45,32.9,20,80,12.0,30.0,22.0,27.6,22.0,34.7,34.4,31.3,30.0,30.0,30.0,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:35:28,22.0,22.0,45.6,50.0,-12.0,-12.0,33.8,2.45,32.4,20,80,11.9,33.2,22.0,27.7,22.0,37.6,37.3,34.3,30.0,30.0,33.2,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:35:33,22.0,22.0,45.6,50.0,-12.0,-12.0,33.8,2.45,32.4,20,80,11.9,33.2,22.0,27.7,22.0,37.6,37.3,34.3,30.0,30.0,33.2,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:35:33,22.0,22.0,45.6,50.0,-12.0,-12.0,33.8,2.45,32.4,20,80,11.9,33.2,22.0,27.7,22.0,37.6,37.3,34.3,30.0,30.0,33.2,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:45:29,22.0,22.0,45.6,50.0,-12.0,-12.0,31.3,2.39,0.0,0,0,11.7,34.3,22.0,27.6,22.0,35.0,35.1,33.2,30.0,30.0,34.3,342,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:45:33,22.0,22.0,45.6,50.0,-12.0,-12.0,31.3,2.39,0.0,0,0,11.7,34.3,22.0,27.6,22.0,35.0,35.1,33.2,30.0,30.0,34.3,342,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:45:34,22.0,22.0,45.6,50.0,-12.0,-12.0,31.3,2.39,0.0,0,0,11.7,34.3,22.0,27.6,22.0,35.0,35.1,33.2,30.0,30.0,34.3,342,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:55:29,22.0,22.0,45.6,50.0,-12.0,-12.0,25.2,2.39,0.0,0,0,11.5,33.8,22.0,27.6,22.0,34.8,34.6,32.8,30.0,30.0,33.8,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:55:33,22.0,22.0,45.6,50.0,-12.0,-12.0,25.2,2.39,0.0,0,0,11.5,33.8,22.0,27.6,22.0,34.8,34.6,32.8,30.0,30.0,33.8,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 21:55:34,22.0,22.0,45.6,50.0,-12.0,-12.0,25.2,2.39,0.0,0,0,11.5,33.8,22.0,27.6,22.0,34.8,34.6,32.8,30.0,30.0,33.8,0,2164,273,0,0,22.020,14.416,7.707,2.654,0.001,16.1,18.6,23.4,0,0
2017 09 08 22:05:28,22.0,22.0,45.6,50.0,-12.0,-12.0,19.9,2.37,0.0,0,0,11.6,32.4,22.0,27.7,22.0,34.6,34.0,32.4,30.0,30.0,32.4,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:05:32,22.0,22.0,45.6,50.0,-12.0,-12.0,19.9,2.37,0.0,0,0,11.6,32.4,22.0,27.7,22.0,34.6,34.0,32.4,30.0,30.0,32.4,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:05:34,22.0,22.0,45.6,50.0,-12.0,-12.0,19.9,2.37,0.0,0,0,11.6,32.4,22.0,27.7,22.0,34.6,34.0,32.4,30.0,30.0,32.4,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:15:29,22.0,22.0,45.7,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,11.4,29.1,22.0,27.7,22.0,34.3,33.6,32.0,30.0,30.0,29.1,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:15:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,11.4,29.1,22.0,27.6,22.0,34.3,33.6,31.9,30.0,30.0,29.1,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:15:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.5,2.37,0.0,0,0,11.4,29.1,22.0,27.6,22.0,34.3,33.6,31.9,30.0,30.0,29.1,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:25:29,22.0,22.0,45.6,50.0,-12.0,-12.0,16.3,2.37,0.0,0,0,11.4,27.0,22.0,27.6,22.0,34.0,33.2,31.5,30.0,30.0,27.0,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:25:32,22.0,22.0,45.6,50.0,-12.0,-12.0,16.3,2.37,0.0,0,0,11.4,27.0,22.0,27.6,22.0,34.0,33.2,31.5,30.0,30.0,27.0,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:25:34,22.0,22.0,45.6,50.0,-12.0,-12.0,16.3,2.37,0.0,0,0,11.4,27.0,22.0,27.6,22.0,34.0,33.2,31.5,30.0,30.0,27.0,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:30:19,22.0,22.0,45.6,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,11.4,26.5,22.0,27.6,22.0,33.9,33.0,31.3,30.0,30.0,26.5,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:45:29,22.0,22.0,45.6,50.0,-12.0,-12.0,16.7,2.37,0.0,0,0,11.1,25.9,22.0,27.2,22.0,33.5,32.5,30.9,30.0,30.0,25.9,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 08 22:45:33,22.0,22.0,45.6,50.0,-12.0,-12.0,16.7,2.37,0.0,0,0,11.1,25.9,22.0,27.2,22.0,33.5,32.5,30.9,30.0,30.0,25.9,0,2165,273,0,0,0.651,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
